case_id,risc,lifecycle:transition,trace,duration
1069,15.6979715262,complete,"('create application', 'cancel appointment')",8
107,2.91390598999,complete,"('create application', 'check documents', 'in-person appointment 1')",27
1070,2.83950121386,complete,"('create application', 'check documents', 'in-person appointment 1')",21
1071,6.81861243171,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",88
1072,13.3145963539,complete,"('create application', 'cancel appointment')",1
1073,47.1173789751,complete,"('create application', 'cancel appointment')",81
1074,2.27592209977,complete,"('create application', 'check documents', 'in-person appointment 1')",19
1075,28.8139503587,complete,"('create application', 'cancel appointment')",3
1076,7.55118118848,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",78
1077,4.5409930848,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",26
1078,9.01441953347,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",34
1079,9.81445334597,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",118
108,20.4852011632,complete,"('create application', 'cancel appointment')",3
1080,3.39309256614,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",53
1081,1.47493994515,complete,"('create application', 'check documents', 'in-person appointment 1')",3
1082,1.23712840893,complete,"('create application', 'check documents', 'in-person appointment 1')",34
1083,0.257972578318,complete,"('create application', 'check documents', 'in-person appointment 1')",29
1084,19.8255928779,complete,"('create application', 'cancel appointment')",44
1085,1.31155114314,complete,"('create application', 'in-person appointment 1', 'check documents')",100
1086,6.68141320202,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",18
1087,16.2010025356,complete,"('create application', 'cancel appointment')",40
1088,40.7525243027,complete,"('create application', 'cancel appointment')",15
1089,8.4818073853,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",72
109,36.906739183,complete,"('create application', 'cancel appointment')",36
1090,13.3039952238,complete,"('create application', 'cancel appointment')",16
1091,0.458170398855,complete,"('create application', 'in-person appointment 1', 'check documents')",21
1092,6.08754604385,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",65
1093,8.55449168274,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",41
1094,5.68691035549,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",100
1095,0.325414711448,complete,"('create application', 'check documents', 'in-person appointment 1')",8
1096,0.0721223563839,complete,"('create application', 'in-person appointment 1', 'check documents')",10
1097,18.7053202682,complete,"('create application', 'cancel appointment')",19
1098,7.31785059667,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",51
1099,46.0627541355,complete,"('create application', 'cancel appointment')",45
11,11.9212505907,complete,"('create application', 'cancel appointment')",62
110,8.8263395412,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",57
1100,7.49616359275,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",56
1101,11.0832183054,complete,"('create application', 'cancel appointment')",34
1102,6.46515590958,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",64
1103,1.49714903096,complete,"('create application', 'in-person appointment 1', 'check documents')",83
1104,18.6009870832,complete,"('create application', 'cancel appointment')",11
1105,0.764597770627,complete,"('create application', 'in-person appointment 1', 'check documents')",25
1106,14.5239907924,complete,"('create application', 'cancel appointment')",4
1107,4.66615051421,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",35
1108,12.5290674034,complete,"('create application', 'cancel appointment')",26
1109,1.12581164878,complete,"('create application', 'check documents', 'in-person appointment 1')",36
111,9.00607609399,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",38
1110,32.97796093,complete,"('create application', 'cancel appointment')",6
1111,22.3729809203,complete,"('create application', 'cancel appointment')",3
1112,18.6635099532,complete,"('create application', 'cancel appointment')",23
1113,0.0163752663059,complete,"('create application', 'in-person appointment 1', 'check documents')",13
1114,9.946234584,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",24
1115,6.41277858943,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",215
1116,5.75198935666,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",101
1117,10.2697065204,complete,"('create application', 'cancel appointment')",7
1118,2.5352875864,complete,"('create application', 'in-person appointment 1', 'check documents')",25
1119,14.8480614248,complete,"('create application', 'cancel appointment')",7
112,4.30719105732,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",70
1120,32.0438718837,complete,"('create application', 'cancel appointment')",3
1121,0.843123989452,complete,"('create application', 'in-person appointment 1', 'check documents')",29
1122,19.9508293107,complete,"('create application', 'cancel appointment')",10
1123,3.5145542521,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",21
1124,1.20173668264,complete,"('create application', 'check documents', 'in-person appointment 1')",33
1125,6.34261066289,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",26
1126,2.23219709392,complete,"('create application', 'check documents', 'in-person appointment 1')",18
1127,19.3539445476,complete,"('create application', 'cancel appointment')",50
1128,31.5602960854,complete,"('create application', 'cancel appointment')",26
1129,38.2468824459,complete,"('create application', 'cancel appointment')",10
113,13.8575276445,complete,"('create application', 'cancel appointment')",19
1130,15.7497766099,complete,"('create application', 'cancel appointment')",39
1131,1.88676696105,complete,"('create application', 'check documents', 'in-person appointment 1')",26
1132,15.5534756799,complete,"('create application', 'cancel appointment')",14
1133,7.35223870887,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",43
1134,5.56359463117,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",32
1135,19.0771942366,complete,"('create application', 'cancel appointment')",40
1136,16.2725775901,complete,"('create application', 'cancel appointment')",17
1137,1.50156723524,complete,"('create application', 'check documents', 'in-person appointment 1')",25
1138,0.0881226130707,complete,"('create application', 'check documents', 'in-person appointment 1')",71
1139,12.0922754685,complete,"('create application', 'cancel appointment')",46
114,17.6648981041,complete,"('create application', 'cancel appointment')",23
1140,2.3661117664,complete,"('create application', 'in-person appointment 1', 'check documents')",19
1141,12.5114589414,complete,"('create application', 'cancel appointment')",58
1142,28.4179078327,complete,"('create application', 'cancel appointment')",41
1143,0.915938541442,complete,"('create application', 'in-person appointment 1', 'check documents')",27
1144,3.31625512674,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",81
1145,11.0325085964,complete,"('create application', 'cancel appointment')",42
1146,0.835002433103,complete,"('create application', 'in-person appointment 1', 'check documents')",26
1147,3.24415103818,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",100
1148,25.0528831347,complete,"('create application', 'cancel appointment')",84
1149,0.344275116916,complete,"('create application', 'check documents', 'in-person appointment 1')",8
115,2.78182718111,complete,"('create application', 'in-person appointment 1', 'check documents')",64
1150,3.81466515813,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",41
1151,4.84726737886,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",41
1152,9.92818563164,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",137
1153,45.9488200048,complete,"('create application', 'cancel appointment')",76
1154,7.58364900265,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",47
1155,5.20675951695,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",59
1156,7.604053533,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",62
1157,5.65504754572,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",65
1158,2.59363272372,complete,"('create application', 'check documents', 'in-person appointment 1')",110
1159,3.62656552118,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",58
116,19.5825002789,complete,"('create application', 'cancel appointment')",12
1160,8.96989491774,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",57
1161,12.4631705944,complete,"('create application', 'cancel appointment')",21
1162,2.55066969245,complete,"('create application', 'check documents', 'in-person appointment 1')",9
1163,2.06608543441,complete,"('create application', 'check documents', 'in-person appointment 1')",14
1164,4.35245910247,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",60
1165,4.31897907587,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",28
1166,1.01545054881,complete,"('create application', 'in-person appointment 1', 'check documents')",15
1167,13.9500869345,complete,"('create application', 'cancel appointment')",19
1168,0.236598651974,complete,"('create application', 'check documents', 'in-person appointment 1')",73
1169,4.08083764189,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",26
117,27.3558882673,complete,"('create application', 'cancel appointment')",42
1170,19.496903877,complete,"('create application', 'cancel appointment')",61
1171,9.55687360885,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",12
1172,18.0494521155,complete,"('create application', 'cancel appointment')",17
1173,2.06707233779,complete,"('create application', 'in-person appointment 1', 'check documents')",24
1174,11.5354953846,complete,"('create application', 'cancel appointment')",84
1175,10.1191909696,complete,"('create application', 'cancel appointment')",50
1176,27.9662576484,complete,"('create application', 'cancel appointment')",31
1177,11.7527867016,complete,"('create application', 'cancel appointment')",59
1178,8.76216873916,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",77
1179,11.7618286913,complete,"('create application', 'cancel appointment')",64
118,2.05642734356,complete,"('create application', 'in-person appointment 1', 'check documents')",23
1180,2.41671233671,complete,"('create application', 'in-person appointment 1', 'check documents')",76
1181,10.8801479134,complete,"('create application', 'cancel appointment')",1
1182,16.499102764,complete,"('create application', 'cancel appointment')",93
1183,1.57506518385,complete,"('create application', 'in-person appointment 1', 'check documents')",46
1184,23.6615364611,complete,"('create application', 'cancel appointment')",6
1185,4.51839471243,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",96
1186,28.5771612178,complete,"('create application', 'cancel appointment')",4
1187,35.0375030997,complete,"('create application', 'cancel appointment')",63
1188,2.64422676178,complete,"('create application', 'in-person appointment 1', 'check documents')",21
1189,16.0465131364,complete,"('create application', 'cancel appointment')",41
119,9.72891472,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",39
1190,3.26599851132,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",28
1191,2.62096574349,complete,"('create application', 'in-person appointment 1', 'check documents')",8
1192,5.49442833629,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",36
1193,8.73656342334,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",108
1194,9.4894914902,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",124
1195,0.910048582885,complete,"('create application', 'in-person appointment 1', 'check documents')",17
1196,1.21557215559,complete,"('create application', 'check documents', 'in-person appointment 1')",32
1197,3.4523042399,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",26
1198,1.37420722246,complete,"('create application', 'in-person appointment 1', 'check documents')",65
1199,8.25790003718,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",75
12,9.43966311218,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",46
120,18.5902436279,complete,"('create application', 'cancel appointment')",35
1200,6.12872573627,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",14
1201,7.23981835084,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",44
1202,54.676278853,complete,"('create application', 'cancel appointment')",0
1203,1.53940764834,complete,"('create application', 'check documents', 'in-person appointment 1')",43
1204,2.33864595755,complete,"('create application', 'check documents', 'in-person appointment 1')",43
1205,19.4079988772,complete,"('create application', 'cancel appointment')",29
1206,3.04079036872,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",75
1207,45.2746989576,complete,"('create application', 'cancel appointment')",7
1208,23.4664189858,complete,"('create application', 'cancel appointment')",42
1209,22.3590111423,complete,"('create application', 'cancel appointment')",8
121,13.579309069,complete,"('create application', 'cancel appointment')",74
1210,1.97183916153,complete,"('create application', 'in-person appointment 1', 'check documents')",46
1211,3.4318621776,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",34
1212,7.2449481574,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",38
1213,2.04124709039,complete,"('create application', 'in-person appointment 1', 'check documents')",26
1214,3.31781369355,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",45
1215,10.2495239505,complete,"('create application', 'cancel appointment')",5
1216,6.42280531573,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",41
1217,2.0471850643,complete,"('create application', 'check documents', 'in-person appointment 1')",23
1218,0.419024368706,complete,"('create application', 'check documents', 'in-person appointment 1')",7
1219,6.75237592528,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",45
122,3.29169994045,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",26
1220,0.126171904104,complete,"('create application', 'check documents', 'in-person appointment 1')",33
1221,1.01016233084,complete,"('create application', 'in-person appointment 1', 'check documents')",22
1222,5.9773152375,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",23
1223,2.07290543697,complete,"('create application', 'check documents', 'in-person appointment 1')",75
1224,3.28073353099,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",47
1225,30.9931179486,complete,"('create application', 'cancel appointment')",37
1226,2.47008403299,complete,"('create application', 'check documents', 'in-person appointment 1')",18
1227,2.2333885569,complete,"('create application', 'check documents', 'in-person appointment 1')",30
1228,10.5053527616,complete,"('create application', 'cancel appointment')",15
1229,0.311096307442,complete,"('create application', 'check documents', 'in-person appointment 1')",24
123,17.650922938,complete,"('create application', 'cancel appointment')",28
1230,9.4400524818,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",102
1231,18.4798547516,complete,"('create application', 'cancel appointment')",43
1232,12.2309400473,complete,"('create application', 'cancel appointment')",22
1233,4.35757754065,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",22
1234,3.83224188872,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",42
1235,1.48872817901,complete,"('create application', 'check documents', 'in-person appointment 1')",14
1236,15.4429565242,complete,"('create application', 'cancel appointment')",16
1237,8.82084584614,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",35
1238,9.90489811263,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",27
1239,1.23476213275,complete,"('create application', 'check documents', 'in-person appointment 1')",12
124,2.97924355625,complete,"('create application', 'check documents', 'in-person appointment 1')",14
1240,12.6398409045,complete,"('create application', 'cancel appointment')",14
1241,25.2202063748,complete,"('create application', 'cancel appointment')",76
1242,40.7814821059,complete,"('create application', 'cancel appointment')",68
1243,5.01326657497,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",34
1244,9.05439965626,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",55
1245,0.430127464019,complete,"('create application', 'in-person appointment 1', 'check documents')",46
1246,20.333473668,complete,"('create application', 'cancel appointment')",16
1247,0.667445692052,complete,"('create application', 'in-person appointment 1', 'check documents')",96
1248,1.27906194252,complete,"('create application', 'in-person appointment 1', 'check documents')",80
1249,8.4000737611,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",93
125,2.79173148423,complete,"('create application', 'check documents', 'in-person appointment 1')",41
1250,2.80602450342,complete,"('create application', 'in-person appointment 1', 'check documents')",93
1251,0.335094050112,complete,"('create application', 'in-person appointment 1', 'check documents')",15
1252,26.1037604201,complete,"('create application', 'cancel appointment')",15
1253,0.916130844841,complete,"('create application', 'in-person appointment 1', 'check documents')",10
1254,5.00903255328,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",36
1255,1.15702558716,complete,"('create application', 'in-person appointment 1', 'check documents')",68
1256,10.4567345315,complete,"('create application', 'cancel appointment')",73
1257,1.09318787325,complete,"('create application', 'in-person appointment 1', 'check documents')",28
1258,8.86495169535,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",38
1259,4.13560383043,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",117
126,7.7771015769,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",28
1260,1.4037343612,complete,"('create application', 'in-person appointment 1', 'check documents')",29
1261,19.8575611674,complete,"('create application', 'cancel appointment')",50
1262,20.4743268861,complete,"('create application', 'cancel appointment')",11
1263,7.23177004001,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",85
1264,0.706003567367,complete,"('create application', 'check documents', 'in-person appointment 1')",46
1265,0.988528662617,complete,"('create application', 'in-person appointment 1', 'check documents')",11
1266,2.70605756119,complete,"('create application', 'in-person appointment 1', 'check documents')",19
1267,0.691778854529,complete,"('create application', 'check documents', 'in-person appointment 1')",24
1268,8.61951460693,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",39
1269,8.40575185677,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",55
127,8.95575558994,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",48
1270,11.9281518194,complete,"('create application', 'cancel appointment')",2
1271,0.390727432586,complete,"('create application', 'check documents', 'in-person appointment 1')",31
1272,0.783616308209,complete,"('create application', 'in-person appointment 1', 'check documents')",103
1273,5.85344557223,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",23
1274,19.0577293575,complete,"('create application', 'cancel appointment')",30
1275,0.818196178218,complete,"('create application', 'check documents', 'in-person appointment 1')",74
1276,3.28433599923,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",51
1277,8.00695438228,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",41
1278,1.82962145942,complete,"('create application', 'in-person appointment 1', 'check documents')",18
1279,25.1221161123,complete,"('create application', 'cancel appointment')",3
128,1.14326709646,complete,"('create application', 'in-person appointment 1', 'check documents')",27
1280,7.40268943894,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",42
1281,4.57252226175,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",55
1282,20.3130333367,complete,"('create application', 'cancel appointment')",64
1283,9.42988061298,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",26
1284,6.00912352782,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",23
1285,12.0932807484,complete,"('create application', 'cancel appointment')",37
1286,25.1290674376,complete,"('create application', 'cancel appointment')",119
1287,4.60403218342,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",15
1288,53.7076709076,complete,"('create application', 'cancel appointment')",13
1289,0.762625071529,complete,"('create application', 'in-person appointment 1', 'check documents')",20
129,12.2791260579,complete,"('create application', 'cancel appointment')",42
1290,2.38258850754,complete,"('create application', 'in-person appointment 1', 'check documents')",34
1291,1.56598077217,complete,"('create application', 'in-person appointment 1', 'check documents')",21
1292,48.6006503517,complete,"('create application', 'cancel appointment')",21
1293,18.4690195939,complete,"('create application', 'cancel appointment')",25
1294,2.15717596107,complete,"('create application', 'check documents', 'in-person appointment 1')",49
1295,5.33970655435,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",25
1296,6.7380578844,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",24
1297,15.296252038,complete,"('create application', 'cancel appointment')",14
1298,13.4467339129,complete,"('create application', 'cancel appointment')",3
1299,0.735823737322,complete,"('create application', 'in-person appointment 1', 'check documents')",39
13,11.7826104394,complete,"('create application', 'cancel appointment')",13
130,11.7939689925,complete,"('create application', 'cancel appointment')",34
1300,17.0059968412,complete,"('create application', 'cancel appointment')",29
1301,3.47626788108,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",22
1302,28.6107021118,complete,"('create application', 'cancel appointment')",8
1303,7.2747350012,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",52
1304,33.6314112462,complete,"('create application', 'cancel appointment')",21
